iteration_num,svm,decision_trees,neural_net,,,,,,,,
291,0.44,0.4242424242,0.4179104478,,,,,,,,
292,0.2424242424,0.6181818182,0.5964912281,,,,,,,,
293,0.2105263158,0.3636363636,0.3636363636,,,,,,,,
294,0.2702702703,0.2365591398,0.2365591398,,,,,,,,
295,0.0833333333,0.0869565217,0.1960784314,,,,,,,,
296,0.1739130435,0.1142857143,0.1142857143,,,,,,,,
297,0.5405405405,0.3773584906,0.3571428571,,,,,,,,
298,0.4137931034,0.4390243902,0.5416666667,,,,,,,,
299,0.3125,0.4347826087,0.4347826087,,,,,,,,
300,0.3225806452,0.3555555556,0.3555555556,,,,,,,,
301,0.1818181818,0.1632653061,0.1632653061,,,,,,,,
302,0.1935483871,0.2162162162,0.1904761905,,,,,,,,
303,0.3888888889,0.2545454545,0.2545454545,,,,,,,,
304,0.1538461538,0.358974359,0.358974359,,,,,,,,
305,0.32,0.2777777778,0.2777777778,,,,,,,,
306,0.3125,0.3043478261,0.2978723404,,,,,,,,
307,0.2352941176,0.2580645161,0.2580645161,,,,,,,,
308,0.2142857143,0.5238095238,0.511627907,,,,,,,,
309,0.1818181818,0.4210526316,0.4102564103,,,,,,,,
310,0.3125,0.3076923077,0.3076923077,,,,,,,,
311,0.1739130435,0.2941176471,0.2857142857,,,,,,,,
312,0.32,0.2702702703,0.2702702703,,,,,,,,
313,0.5263157895,0.4905660377,0.4814814815,,,,,,,,
314,0.25,0.4615384615,0.4363636364,,,,,,,,
315,0.1818181818,0.3287671233,0.3287671233,,,,,,,,
316,0.25,0.1860465116,0.1860465116,,,,,,,,
317,0.358974359,0.4126984127,0.4126984127,,,,,,,,
318,0.1,0.275,0.275,,,,,,,,
319,0.16,0.3333333333,0.3265306122,,,,,,,,
320,0.1666666667,0.2222222222,0.2222222222,,,,,,,,
321,0.3333333333,0.3673469388,0.3673469388,,,,,,,,
322,0.2285714286,0.25,0.2727272727,,,,,,,,
323,0.2105263158,0.1632653061,0.2068965517,,,,,,,,
324,0.2222222222,0.3943661972,0.3943661972,,,,,,,,
325,0.25,0.2040816327,0.1923076923,,,,,,,,
326,0.3703703704,0.3684210526,0.3255813953,,,,,,,,
327,0.2424242424,0.2950819672,0.2950819672,,,,,,,,
328,0.2127659574,0.1714285714,0.1714285714,,,,,,,,
329,0.5384615385,0.4242424242,0.4444444444,,,,,,,,
330,0.2068965517,0.3243243243,0.3243243243,,,,,,,,
331,0.2962962963,0.2162162162,0.2105263158,,,,,,,,
332,0.35,0.275862069,0.3050847458,,,,,,,,
333,0.1818181818,0.1739130435,0.1739130435,,,,,,,,
334,0,0.1290322581,0.1176470588,,,,,,,,
335,0.3636363636,0.2916666667,0.28,,,,,,,,
336,0.1904761905,0.1333333333,0.1290322581,,,,,,,,
337,0.4375,0.3636363636,0.375,,,,,,,,
338,0.2608695652,0.25,0.2352941176,,,,,,,,
339,0.2727272727,0.2142857143,0.2142857143,,,,,,,,
340,0.1714285714,0.16,0.16,,,,,,,,
341,0.48,0.375,0.375,,,,,,,,
342,0.3846153846,0.3428571429,0.3428571429,,,,,,,,
343,0.3636363636,0.3225806452,0.3225806452,,,,,,,,
344,0.2666666667,0.2142857143,0.2033898305,,,,,,,,
345,0.1538461538,0.202247191,0.202247191,,,,,,,,
346,0.4736842105,0.4745762712,0.4761904762,,,,,,,,
347,0.24,0.3076923077,0.3255813953,,,,,,,,
348,0.4210526316,0.3137254902,0.3076923077,,,,,,,,
349,0.24,0.2916666667,0.36,,,,,,,,
350,0.1860465116,0.21875,0.2647058824,,,,,,,,
351,0.32,0.2553191489,0.3265306122,,,,,,,,
352,0.1481481481,0.380952381,0.347826087,,,,,,,,
353,0.2608695652,0.275862069,0.275862069,,,,,,,,
354,0.4242424242,0.4545454545,0.4255319149,,,,,,,,
355,0.5882352941,0.3333333333,0.3225806452,,,,,,,,
356,0.4166666667,0.3529411765,0.3333333333,,,,,,,,
357,0.1538461538,0.1333333333,0.1333333333,,,,,,,,
358,0.3571428571,0.380952381,0.380952381,,,,,,,,
359,0.347826087,0.3157894737,0.3076923077,,,,,,,,
360,0.2608695652,0.3636363636,0.3636363636,,,,,,,,
361,0,0.1538461538,0.2647058824,,,,,,,,
362,0.6666666667,0.5,0.5,,,,,,,,
363,0.0769230769,0.1081081081,0.1081081081,,,,,,,,
364,0.303030303,0.2380952381,0.2380952381,,,,,,,,
365,0.32,0.4,0.4,,,,,,,,
366,0.3125,0.2553191489,0.2962962963,,,,,,,,
367,0.1481481481,0.1224489796,0.1224489796,,,,,,,,
368,0.1290322581,0.3703703704,0.4,,,,,,,,
369,0.125,0.2903225806,0.2727272727,,,,,,,,
370,0.4137931034,0.35,0.35,,,,,,,,
371,0.3225806452,0.3333333333,0.3333333333,,,,,,,,
372,0.1904761905,0.25,0.25,,,,,,,,
373,0.2666666667,0.2173913043,0.2173913043,,,,,,,,
374,0.2608695652,0.5263157895,0.5263157895,,,,,,,,
375,0.1212121212,0.2083333333,0.2083333333,,,,,,,,
376,0.3265306122,0.2337662338,0.2337662338,,,,,,,,
377,0.380952381,0.25,0.25,,,,,,,,
378,0.2,0.1875,0.2222222222,,,,,,,,
379,0.2962962963,0.3888888889,0.3888888889,,,,,,,,
380,0.2,0.1875,0.2631578947,,,,,,,,
381,0.4,0.4081632653,0.4,,,,,,,,
382,0.4285714286,0.4,0.3888888889,,,,,,,,
383,0.4666666667,0.4090909091,0.4090909091,,,,,,,,
384,0.275862069,0.2173913043,0.2040816327,,,,,,,,
385,0.4516129032,0.3888888889,0.3684210526,,,,,,,,
386,0.24,0.25,0.25,,,,,,,,
387,0,0,0.125,,,,,,,,
388,0.4242424242,0.4,0.4,,,,,,,,
389,0.380952381,0.303030303,0.2941176471,,,,,,,,
390,0.3529411765,0.3728813559,0.3666666667,,,,,,,,
391,0.2,0.2162162162,0.2051282051,,,,,,,,
392,0.4545454545,0.16,0.1538461538,,,,,,,,
393,0.16,0.2222222222,0.2051282051,,,,,,,,
394,0.3636363636,0.2666666667,0.2666666667,,,,,,,,
395,0.3225806452,0.3137254902,0.2962962963,,,,,,,,
396,0.3225806452,0.3043478261,0.3043478261,,,,,,,,
397,0.5,0.4864864865,0.4864864865,,,,,,,,
398,0.32,0.3333333333,0.3243243243,,,,,,,,
399,0.4,0.3571428571,0.3571428571,,,,,,,,
400,0.2580645161,0.3137254902,0.262295082,,,,,,,,
401,0.1142857143,0.1428571429,0.1395348837,,,,,,,,
402,0.1666666667,0.3111111111,0.2916666667,,,,,,,,
403,0.3333333333,0.3043478261,0.28,,,,,,,,
404,0.170212766,0.2368421053,0.2368421053,,,,,,,,
405,0.3636363636,0.2666666667,0.25,,,,,,,,
406,0.4166666667,0.2631578947,0.25,,,,,,,,
407,0.2162162162,0.2173913043,0.2352941176,,,,,,,,
408,0.2222222222,0.1739130435,0.1739130435,,,,,,,,
409,0.2608695652,0.2380952381,0.347826087,,,,,,,,
410,0.2,0.2745098039,0.2745098039,,,,,,,,
411,0.2,0.2040816327,0.2,,,,,,,,
412,0.2142857143,0.3157894737,0.3157894737,,,,,,,,
413,0.2127659574,0.2950819672,0.2950819672,,,,,,,,
414,0.4705882353,0.3921568627,0.4,,,,,,,,
415,0.3333333333,0.2380952381,0.2380952381,,,,,,,,
416,0.2978723404,0.46875,0.46875,,,,,,,,
417,0.303030303,0.2916666667,0.2916666667,,,,,,,,
418,0.5185185185,0.28,0.2745098039,,,,,,,,
419,0.32,0.1538461538,0.1509433962,,,,,,,,
420,0.3333333333,0.3225806452,0.3225806452,,,,,,,,
421,0.4,0.3,0.3255813953,,,,,,,,
422,0.2580645161,0.2857142857,0.2857142857,,,,,,,,
423,0.24,0.1578947368,0.1578947368,,,,,,,,
424,0.3636363636,0.25,0.2325581395,,,,,,,,
425,0.4,0.4615384615,0.4390243902,,,,,,,,
426,0.4166666667,0.5128205128,0.5,,,,,,,,
427,0.1764705882,0.3448275862,0.3448275862,,,,,,,,
428,0.4375,0.5833333333,0.5833333333,,,,,,,,
429,0.25,0.2857142857,0.2666666667,,,,,,,,
430,0.1538461538,0.2727272727,0.2608695652,,,,,,,,
431,0.24,0.2222222222,0.2,,,,,,,,
432,0.4,0.3,0.3,,,,,,,,
433,0.4489795918,0.3181818182,0.3181818182,,,,,,,,
434,0.303030303,0.2857142857,0.2727272727,,,,,,,,
435,0.2727272727,0.3125,0.3125,,,,,,,,
436,0.0666666667,0.2666666667,0.253968254,,,,,,,,
437,0.1379310345,0.1904761905,0.1860465116,,,,,,,,
